"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Albin Berglund","IKSU Sport",1,1,"IKSU Ungdom",1
"2","Albin Berglund","IKSU Sport",1,1,"Hudik/Björkberg IBK",1
"3","Albin Jakobsson","Hammarö Arena",4,11,"Lindome IBK",1
"4","Albin Jakobsson","Hammarö Arena",4,11,"FBC Kalmarsund",1
"5","Albin Jakobsson","Hammarö Arena",4,11,"Skoghalls IBK",4
"6","Albin Jakobsson","Hammarö Arena",4,11,"Rönnby Västerås IBK Ungdom",1
"7","Albin Jakobsson","Hammarö Arena",4,11,"IBK Lockerud Mariestad",1
"8","Albin Jakobsson","ICA-kvantum hallen, Mariestad",3,11,"IBK Lockerud Mariestad",3
"9","Albin Jakobsson","ICA-kvantum hallen, Mariestad",3,11,"Lindome IBK",1
"10","Albin Jakobsson","ICA-kvantum hallen, Mariestad",3,11,"Västra Mälardalen IB",1
"11","Albin Jakobsson","ICA-kvantum hallen, Mariestad",3,11,"Telge SIBK",1
"12","Albin Jakobsson","Kristiansborgshallen",2,11,"Västerås IBS",1
"13","Albin Jakobsson","Kristiansborgshallen",2,11,"Hovslätts IK",1
"14","Albin Jakobsson","Kristiansborgshallen",2,11,"Fröjereds IF",1
"15","Albin Jakobsson","Kristiansborgshallen",2,11,"Rönnby Västerås IBK Ungdom",1
"16","Albin Jakobsson","Vasahallen",2,11,"Västra Mälardalen IB",2
"17","Albin Jakobsson","Vasahallen",2,11,"Fröjereds IF",1
"18","Albin Jakobsson","Vasahallen",2,11,"Hovslätts IK",1
"19","Alexander Gruber","Ormingehallen",1,1,"Nacka Wallenstam IBK",1
"20","Alexander Gruber","Ormingehallen",1,1,"Hammarby IF IBF",1
"21","Alexander Sommensjö","Hammarö Arena",2,3,"IBF Linköping",1
"22","Alexander Sommensjö","Hammarö Arena",2,3,"Skoghalls IBK",2
"23","Alexander Sommensjö","Hammarö Arena",2,3,"Västerås IBS",1
"24","Alexander Sommensjö","Sjöstadshallen",1,3,"FBI Tullinge",1
"25","Alexander Sommensjö","Sjöstadshallen",1,3,"Hammarby IF IBF",1
"26","Anders Asp","Alfahallen - Gavlehov",1,23,"Strömsbro IF",1
"27","Anders Asp","Alfahallen - Gavlehov",1,23,"Ersboda SK",1
"28","Anders Asp","Folkungahallen",2,23,"Linköping IBK",1
"29","Anders Asp","Folkungahallen",2,23,"Västerås IBS",1
"30","Anders Asp","Folkungahallen",2,23,"Skoghalls IBK",1
"31","Anders Asp","Folkungahallen",2,23,"IBF Linköping",1
"32","Anders Asp","Hammarö Arena",1,23,"Skoghalls IBK",1
"33","Anders Asp","Hammarö Arena",1,23,"Linköping IBK",1
"34","Anders Asp","Jakobsbergs Sporthall",1,23,"IKSU Ungdom",1
"35","Anders Asp","Jakobsbergs Sporthall",1,23,"Bele Barkarby IF IBF",1
"36","Anders Asp","JALAS® Arena",1,23,"Nacka Wallenstam IBK",1
"37","Anders Asp","JALAS® Arena",1,23,"IBF Falun",1
"38","Anders Asp","Kristiansborgshallen",3,23,"Telge SIBK",1
"39","Anders Asp","Kristiansborgshallen",3,23,"Rönnby Västerås IBK Ungdom",2
"40","Anders Asp","Kristiansborgshallen",3,23,"Västra Mälardalen IB",1
"41","Anders Asp","Kristiansborgshallen",3,23,"Västerås IBS",1
"42","Anders Asp","Kristiansborgshallen",3,23,"Skoghalls IBK",1
"43","Anders Asp","Ormingehallen",2,23,"IBF Falun",1
"44","Anders Asp","Ormingehallen",2,23,"Nacka Wallenstam IBK",2
"45","Anders Asp","Ormingehallen",2,23,"IBF Dalen",1
"46","Anders Asp","Sjöstadshallen",2,23,"IBF Dalen",1
"47","Anders Asp","Sjöstadshallen",2,23,"Älvsjö AIK IBF",1
"48","Anders Asp","Sjöstadshallen",2,23,"Hammarby IF IBF",2
"49","Anders Asp","Sundsvalls Sporthall-A",1,23,"IKSU Ungdom",1
"50","Anders Asp","Sundsvalls Sporthall-A",1,23,"Sundsvalls IBF",1
"51","Anders Asp","Tullingehallen",2,23,"FBI Tullinge",2
"52","Anders Asp","Tullingehallen",2,23,"Strömsbro IF",1
"53","Anders Asp","Tullingehallen",2,23,"Notvikens IK",1
"54","Anders Asp","Vasahallen",2,23,"Rönnby Västerås IBK Ungdom",1
"55","Anders Asp","Vasahallen",2,23,"Västra Mälardalen IB",2
"56","Anders Asp","Vasahallen",2,23,"Lindome IBK",1
"57","Anders Asp","Västergård Arena A",1,23,"Telge SIBK",1
"58","Anders Asp","Västergård Arena A",1,23,"Västra Mälardalen IB",1
"59","Anders Asp","Västertorpshallen",2,23,"Nacka Wallenstam IBK",1
"60","Anders Asp","Västertorpshallen",2,23,"Älvsjö AIK IBF",2
"61","Anders Asp","Västertorpshallen",2,23,"Strömsbro IF",1
"62","Anders Asp","Åkersberga Sporthall A",2,23,"IBF Dalen",1
"63","Anders Asp","Åkersberga Sporthall A",2,23,"Strömsbro IF",1
"64","Anders Asp","Åkersberga Sporthall A",2,23,"Åkersberga IBF",2
"65","Anders Fredriksson","Vasahallen",1,2,"Linköping IBK",1
"66","Anders Fredriksson","Vasahallen",1,2,"Västra Mälardalen IB",1
"67","Anders Fredriksson","Västertorpshallen",1,2,"IBF Falun",1
"68","Anders Fredriksson","Västertorpshallen",1,2,"Älvsjö AIK IBF",1
"69","Anders Johansson","Håstaholmen",1,1,"Hudik/Björkberg IBK",1
"70","Anders Johansson","Håstaholmen",1,1,"Notvikens IK",1
"71","Anders Stenberg","Kalmar Sporthall A-hall",1,1,"FBC Kalmarsund",1
"72","Anders Stenberg","Kalmar Sporthall A-hall",1,1,"Lindås Rasta IBK",1
"73","Anders Ståhlberg","Färjehallen",1,14,"FBC Kalmarsund",1
"74","Anders Ståhlberg","Färjehallen",1,14,"Fröjereds IF",1
"75","Anders Ståhlberg","Jakobsbergs Sporthall",1,14,"Bele Barkarby IF IBF",1
"76","Anders Ståhlberg","Jakobsbergs Sporthall",1,14,"Hammarby IF IBF",1
"77","Anders Ståhlberg","Kristiansborgshallen",3,14,"IBK Lund Elit",1
"78","Anders Ståhlberg","Kristiansborgshallen",3,14,"Västra Mälardalen IB",1
"79","Anders Ståhlberg","Kristiansborgshallen",3,14,"Rönnby Västerås IBK Ungdom",1
"80","Anders Ståhlberg","Kristiansborgshallen",3,14,"Västerås IBS",2
"81","Anders Ståhlberg","Kristiansborgshallen",3,14,"Åstorp/Kvidinge IBS",1
"82","Anders Ståhlberg","Ormingehallen",1,14,"RIG Umeå IBF",1
"83","Anders Ståhlberg","Ormingehallen",1,14,"Nacka Wallenstam IBK",1
"84","Anders Ståhlberg","Sparbankshallen, T-holm",1,14,"Fröjereds IF",1
"85","Anders Ståhlberg","Sparbankshallen, T-holm",1,14,"FBC Kalmarsund",1
"86","Anders Ståhlberg","Tullingehallen",1,14,"FBI Tullinge",1
"87","Anders Ståhlberg","Tullingehallen",1,14,"Åkersberga IBF",1
"88","Anders Ståhlberg","Västergård Arena A",1,14,"Lindås Rasta IBK",1
"89","Anders Ståhlberg","Västergård Arena A",1,14,"Telge SIBK",1
"90","Anders Ståhlberg","Västertorpshallen",2,14,"Sundsvalls IBF",1
"91","Anders Ståhlberg","Västertorpshallen",2,14,"Älvsjö AIK IBF",2
"92","Anders Ståhlberg","Västertorpshallen",2,14,"Bele Barkarby IF IBF",1
"93","Anders Ståhlberg","Åkersberga Sporthall A",3,14,"FBI Tullinge",1
"94","Anders Ståhlberg","Åkersberga Sporthall A",3,14,"Hammarby IF IBF",1
"95","Anders Ståhlberg","Åkersberga Sporthall A",3,14,"RIG Umeå IBF",1
"96","Anders Ståhlberg","Åkersberga Sporthall A",3,14,"Åkersberga IBF",3
"97","Anders Westerberg","Jakobsbergs Sporthall",1,4,"Åkersberga IBF",1
"98","Anders Westerberg","Jakobsbergs Sporthall",1,4,"Bele Barkarby IF IBF",1
"99","Anders Westerberg","Kristiansborgshallen",1,4,"Västerås IBS",1
"100","Anders Westerberg","Kristiansborgshallen",1,4,"IBF Linköping",1
"101","Anders Westerberg","Tullingehallen",2,4,"Sundsvalls IBF",1
"102","Anders Westerberg","Tullingehallen",2,4,"Team Kalix IBK",1
"103","Anders Westerberg","Tullingehallen",2,4,"FBI Tullinge",2
"104","Andreas Bengtsson","Kristiansborgshallen",1,1,"IBK Lockerud Mariestad",1
"105","Andreas Bengtsson","Kristiansborgshallen",1,1,"Västerås IBS",1
"106","Andreas Eriksson","Umeå Energi Arena Väst",1,2,"IBF Dalen",1
"107","Andreas Eriksson","Umeå Energi Arena Väst",1,2,"Ersboda SK",1
"108","Andreas Eriksson","Umeå Energi Arena Öst",1,2,"RIG Umeå IBF",1
"109","Andreas Eriksson","Umeå Energi Arena Öst",1,2,"IBF Dalen",1
"110","Andreas Lindberg","Alfahallen - Gavlehov",1,6,"Strömsbro IF",1
"111","Andreas Lindberg","Alfahallen - Gavlehov",1,6,"Sundsvalls IBF",1
"112","Andreas Lindberg","Ersängshallen",1,6,"Ersboda SK",1
"113","Andreas Lindberg","Ersängshallen",1,6,"Sundsvalls IBF",1
"114","Andreas Lindberg","Håstaholmen",1,6,"Bele Barkarby IF IBF",1
"115","Andreas Lindberg","Håstaholmen",1,6,"Hudik/Björkberg IBK",1
"116","Andreas Lindberg","Musköten 2",1,6,"Team Kalix IBK",1
"117","Andreas Lindberg","Musköten 2",1,6,"RIG Umeå IBF",1
"118","Andreas Lindberg","Skönsbergshallen",1,6,"Ersboda SK",1
"119","Andreas Lindberg","Skönsbergshallen",1,6,"Sundsvalls IBF",1
"120","Andreas Lindberg","Sundsvalls Sporthall-A",1,6,"Notvikens IK",1
"121","Andreas Lindberg","Sundsvalls Sporthall-A",1,6,"Sundsvalls IBF",1
"122","Apilou Dragin","Almåshallen A",1,5,"Lindome IBK",1
"123","Apilou Dragin","Almåshallen A",1,5,"Åstorp/Kvidinge IBS",1
"124","Apilou Dragin","Jönköpings Idrottshus D-hall",2,5,"Åstorp/Kvidinge IBS",1
"125","Apilou Dragin","Jönköpings Idrottshus D-hall",2,5,"Hovslätts IK",2
"126","Apilou Dragin","Jönköpings Idrottshus D-hall",2,5,"FBC Kalmarsund",1
"127","Apilou Dragin","Salming Arena",1,5,"Röke IBK",1
"128","Apilou Dragin","Salming Arena",1,5,"Lindås Rasta IBK",1
"129","Apilou Dragin","Västergård Arena A",1,5,"Lindome IBK",1
"130","Apilou Dragin","Västergård Arena A",1,5,"Telge SIBK",1
"131","Arash Sohrevardi","Håstaholmen",2,17,"Nacka Wallenstam IBK",1
"132","Arash Sohrevardi","Håstaholmen",2,17,"Hudik/Björkberg IBK",2
"133","Arash Sohrevardi","Håstaholmen",2,17,"IBF Dalen",1
"134","Arash Sohrevardi","ICA-kvantum hallen, Mariestad",3,17,"Lindås Rasta IBK",1
"135","Arash Sohrevardi","ICA-kvantum hallen, Mariestad",3,17,"FBC Kalmarsund",1
"136","Arash Sohrevardi","ICA-kvantum hallen, Mariestad",3,17,"IBK Lockerud Mariestad",1
"137","Arash Sohrevardi","ICA-kvantum hallen, Mariestad",3,17,"IBK Lockerud Mariestad",2
"138","Arash Sohrevardi","ICA-kvantum hallen, Mariestad",3,17,"Skoghalls IBK",1
"139","Arash Sohrevardi","Jakobsbergs Sporthall",2,17,"Bele Barkarby IF IBF",2
"140","Arash Sohrevardi","Jakobsbergs Sporthall",2,17,"IBF Dalen",1
"141","Arash Sohrevardi","Jakobsbergs Sporthall",2,17,"Älvsjö AIK IBF",1
"142","Arash Sohrevardi","JALAS® Arena",1,17,"FBI Tullinge",1
"143","Arash Sohrevardi","JALAS® Arena",1,17,"IBF Falun",1
"144","Arash Sohrevardi","Ormingehallen",1,17,"Ersboda SK",1
"145","Arash Sohrevardi","Ormingehallen",1,17,"Nacka Wallenstam IBK",1
"146","Arash Sohrevardi","Sjöstadshallen",2,17,"RIG Umeå IBF",1
"147","Arash Sohrevardi","Sjöstadshallen",2,17,"Bele Barkarby IF IBF",1
"148","Arash Sohrevardi","Sjöstadshallen",2,17,"Hammarby IF IBF",1
"149","Arash Sohrevardi","Sjöstadshallen",2,17,"Hammarby IF IBF",1
"150","Arash Sohrevardi","Sparbankshallen, T-holm",1,17,"Fröjereds IF",1
"151","Arash Sohrevardi","Sparbankshallen, T-holm",1,17,"IBK Lund Elit",1
"152","Arash Sohrevardi","Tullingehallen",2,17,"FBI Tullinge",2
"153","Arash Sohrevardi","Tullingehallen",2,17,"Hammarby IF IBF",1
"154","Arash Sohrevardi","Tullingehallen",2,17,"Nacka Wallenstam IBK",1
"155","Arash Sohrevardi","Västertorpshallen",2,17,"Team Kalix IBK",1
"156","Arash Sohrevardi","Västertorpshallen",2,17,"Älvsjö AIK IBF",1
"157","Arash Sohrevardi","Västertorpshallen",2,17,"Älvsjö AIK IBF",1
"158","Arash Sohrevardi","Västertorpshallen",2,17,"FBI Tullinge",1
"159","Arash Sohrevardi","Åkersberga Sporthall A",1,17,"Älvsjö AIK IBF",1
"160","Arash Sohrevardi","Åkersberga Sporthall A",1,17,"Åkersberga IBF",1
"161","Björn Hedman","Håstaholmen",1,2,"Hudik/Björkberg IBK",1
"162","Björn Hedman","Håstaholmen",1,2,"Team Kalix IBK",1
"163","Björn Hedman","Sjöstadshallen",1,2,"Nacka Wallenstam IBK",1
"164","Björn Hedman","Sjöstadshallen",1,2,"Hammarby IF IBF",1
"165","Casper Dahlberg","Färjehallen",1,1,"IBK Lund Elit",1
"166","Casper Dahlberg","Färjehallen",1,1,"FBC Kalmarsund",1
"167","Catrin Kleist","Almåshallen A",1,5,"Åstorp/Kvidinge IBS",1
"168","Catrin Kleist","Almåshallen A",1,5,"Lindome IBK",1
"169","Catrin Kleist","Jönköpings Idrottshus D-hall",2,5,"Åstorp/Kvidinge IBS",1
"170","Catrin Kleist","Jönköpings Idrottshus D-hall",2,5,"FBC Kalmarsund",1
"171","Catrin Kleist","Jönköpings Idrottshus D-hall",2,5,"Hovslätts IK",2
"172","Catrin Kleist","Salming Arena",1,5,"Röke IBK",1
"173","Catrin Kleist","Salming Arena",1,5,"Lindås Rasta IBK",1
"174","Catrin Kleist","Västergård Arena A",1,5,"Telge SIBK",1
"175","Catrin Kleist","Västergård Arena A",1,5,"Lindome IBK",1
"176","Christer Avasjö","Hammarö Arena",1,4,"Skoghalls IBK",1
"177","Christer Avasjö","Hammarö Arena",1,4,"Lindås Rasta IBK",1
"178","Christer Avasjö","Jakobsbergs Sporthall",1,4,"Ersboda SK",1
"179","Christer Avasjö","Jakobsbergs Sporthall",1,4,"Bele Barkarby IF IBF",1
"180","Christer Avasjö","Ormingehallen",1,4,"Nacka Wallenstam IBK",1
"181","Christer Avasjö","Ormingehallen",1,4,"FBI Tullinge",1
"182","Christer Avasjö","Västergård Arena A",1,4,"Telge SIBK",1
"183","Christer Avasjö","Västergård Arena A",1,4,"IBK Lockerud Mariestad",1
"184","Christian Johnsson","Folkungahallen",2,6,"Linköping IBK",1
"185","Christian Johnsson","Folkungahallen",2,6,"Röke IBK",1
"186","Christian Johnsson","Folkungahallen",2,6,"IBF Linköping",2
"187","Christian Johnsson","Kristiansborgshallen",1,6,"Telge SIBK",1
"188","Christian Johnsson","Kristiansborgshallen",1,6,"Rönnby Västerås IBK Ungdom",1
"189","Christian Johnsson","Sjöstadshallen",1,6,"Hammarby IF IBF",1
"190","Christian Johnsson","Sjöstadshallen",1,6,"Åkersberga IBF",1
"191","Christian Johnsson","Tullingehallen",1,6,"IBF Falun",1
"192","Christian Johnsson","Tullingehallen",1,6,"FBI Tullinge",1
"193","Christian Johnsson","Västergård Arena A",1,6,"IBF Linköping",1
"194","Christian Johnsson","Västergård Arena A",1,6,"Telge SIBK",1
"195","Christoffer Markovski","Ersängshallen",1,3,"Ersboda SK",1
"196","Christoffer Markovski","Ersängshallen",1,3,"FBI Tullinge",1
"197","Christoffer Markovski","Ormingehallen",1,3,"Nacka Wallenstam IBK",1
"198","Christoffer Markovski","Ormingehallen",1,3,"IKSU Ungdom",1
"199","Christoffer Markovski","Västergård Arena A",1,3,"Skoghalls IBK",1
"200","Christoffer Markovski","Västergård Arena A",1,3,"Telge SIBK",1
"201","Christoph Gruber","Ormingehallen",1,1,"Nacka Wallenstam IBK",1
"202","Christoph Gruber","Ormingehallen",1,1,"Hammarby IF IBF",1
"203","Claes Knutsson","Folkungahallen",1,1,"Västra Mälardalen IB",1
"204","Claes Knutsson","Folkungahallen",1,1,"Linköping IBK",1
"205","Daniel Dufvenberg","Almåshallen A",2,5,"Lindås Rasta IBK",1
"206","Daniel Dufvenberg","Almåshallen A",2,5,"Lindome IBK",2
"207","Daniel Dufvenberg","Almåshallen A",2,5,"FBC Kalmarsund",1
"208","Daniel Dufvenberg","Hammarö Arena",1,5,"Skoghalls IBK",1
"209","Daniel Dufvenberg","Hammarö Arena",1,5,"Västra Mälardalen IB",1
"210","Daniel Dufvenberg","Kristiansborgshallen",2,5,"Skoghalls IBK",1
"211","Daniel Dufvenberg","Kristiansborgshallen",2,5,"Västerås IBS",2
"212","Daniel Dufvenberg","Kristiansborgshallen",2,5,"Linköping IBK",1
"213","Daniel Kölborn","Håstaholmen",1,5,"Hudik/Björkberg IBK",1
"214","Daniel Kölborn","Håstaholmen",1,5,"Nacka Wallenstam IBK",1
"215","Daniel Kölborn","Tullingehallen",1,5,"Hudik/Björkberg IBK",1
"216","Daniel Kölborn","Tullingehallen",1,5,"FBI Tullinge",1
"217","Daniel Kölborn","Vasahallen",3,5,"Västra Mälardalen IB",2
"218","Daniel Kölborn","Vasahallen",3,5,"Lindome IBK",1
"219","Daniel Kölborn","Vasahallen",3,5,"Telge SIBK",1
"220","Daniel Kölborn","Vasahallen",3,5,"IBK Lockerud Mariestad",1
"221","Daniel Kölborn","Vasahallen",3,5,"Västra Mälardalen IB",1
"222","Daniel Söderberg","Västergård Arena A",1,1,"Telge SIBK",1
"223","Daniel Söderberg","Västergård Arena A",1,1,"Rönnby Västerås IBK Ungdom",1
"224","Dawan Mofak","Idrottshallen, Töreboda",1,2,"Linköping IBK",1
"225","Dawan Mofak","Idrottshallen, Töreboda",1,2,"IBK Lockerud Mariestad",1
"226","Dawan Mofak","Jönköpings Idrottshus D-hall",1,2,"Hovslätts IK",1
"227","Dawan Mofak","Jönköpings Idrottshus D-hall",1,2,"IBK Lund Elit",1
"228","David Berger","Västergård Arena A",2,2,"Linköping IBK",1
"229","David Berger","Västergård Arena A",2,2,"Telge SIBK",2
"230","David Berger","Västergård Arena A",2,2,"Västerås IBS",1
"231","David Björketun","Folkungahallen",1,4,"IBF Linköping",1
"232","David Björketun","Folkungahallen",1,4,"Västra Mälardalen IB",1
"233","David Björketun","ICA-kvantum hallen, Mariestad",1,4,"Västerås IBS",1
"234","David Björketun","ICA-kvantum hallen, Mariestad",1,4,"IBK Lockerud Mariestad",1
"235","David Björketun","Sparbankshallen, T-holm",2,4,"Skoghalls IBK",1
"236","David Björketun","Sparbankshallen, T-holm",2,4,"Röke IBK",1
"237","David Björketun","Sparbankshallen, T-holm",2,4,"Fröjereds IF",2
"238","David Dornlöv","Jönköpings Idrottshus D-hall",1,8,"Lindome IBK",1
"239","David Dornlöv","Jönköpings Idrottshus D-hall",1,8,"Hovslätts IK",1
"240","David Dornlöv","Kalmar Sporthall A-hall",1,8,"Västerås IBS",1
"241","David Dornlöv","Kalmar Sporthall A-hall",1,8,"FBC Kalmarsund",1
"242","David Dornlöv","Luleå Energi Arena",1,8,"Notvikens IK",1
"243","David Dornlöv","Luleå Energi Arena",1,8,"IBF Dalen",1
"244","David Dornlöv","Lunds Idrottshall",2,8,"IBK Lund Elit",2
"245","David Dornlöv","Lunds Idrottshall",2,8,"Röke IBK",1
"246","David Dornlöv","Lunds Idrottshall",2,8,"Lindås Rasta IBK",1
"247","David Dornlöv","Qpoolen",1,8,"Röke IBK",1
"248","David Dornlöv","Qpoolen",1,8,"Telge SIBK",1
"249","David Dornlöv","Åstorps Sporthall",2,8,"Lindome IBK",1
"250","David Dornlöv","Åstorps Sporthall",2,8,"Åstorp/Kvidinge IBS",2
"251","David Dornlöv","Åstorps Sporthall",2,8,"Lindås Rasta IBK",1
"252","Edo Sabanovic","Folkungahallen",1,5,"Linköping IBK",1
"253","Edo Sabanovic","Folkungahallen",1,5,"Rönnby Västerås IBK Ungdom",1
"254","Edo Sabanovic","Färjehallen",1,5,"Västra Mälardalen IB",1
"255","Edo Sabanovic","Färjehallen",1,5,"FBC Kalmarsund",1
"256","Edo Sabanovic","Sparbankshallen, T-holm",2,5,"Lindås Rasta IBK",1
"257","Edo Sabanovic","Sparbankshallen, T-holm",2,5,"Fröjereds IF",2
"258","Edo Sabanovic","Sparbankshallen, T-holm",2,5,"IBF Linköping",1
"259","Edo Sabanovic","Åstorps Sporthall",1,5,"Åstorp/Kvidinge IBS",1
"260","Edo Sabanovic","Åstorps Sporthall",1,5,"Fröjereds IF",1
"261","Edwin Simonian","Alfahallen - Gavlehov",1,1,"Hudik/Björkberg IBK",1
"262","Edwin Simonian","Alfahallen - Gavlehov",1,1,"Strömsbro IF",1
"263","Elis Erbing","Vasahallen",1,1,"IBF Linköping",1
"264","Elis Erbing","Vasahallen",1,1,"Västra Mälardalen IB",1
"265","Erik Hindemith","ISLK",1,7,"IBK Lockerud Mariestad",1
"266","Erik Hindemith","ISLK",1,7,"IBK Lund Elit",1
"267","Erik Hindemith","Lunds Idrottshall",4,7,"IBK Lund Elit",3
"268","Erik Hindemith","Lunds Idrottshall",4,7,"Röke IBK",1
"269","Erik Hindemith","Lunds Idrottshall",4,7,"Lindome IBK",1
"270","Erik Hindemith","Lunds Idrottshall",4,7,"Telge SIBK",1
"271","Erik Hindemith","Lunds Idrottshall",4,7,"IBK Lund Elit",1
"272","Erik Hindemith","Lunds Idrottshall",4,7,"Västra Mälardalen IB",1
"273","Erik Hindemith","Åstorps Sporthall",2,7,"Röke IBK",1
"274","Erik Hindemith","Åstorps Sporthall",2,7,"Åstorp/Kvidinge IBS",2
"275","Erik Hindemith","Åstorps Sporthall",2,7,"IBK Lockerud Mariestad",1
"276","Erik Norin","Almåshallen A",1,4,"Hovslätts IK",1
"277","Erik Norin","Almåshallen A",1,4,"Lindome IBK",1
"278","Erik Norin","Hammarö Arena",1,4,"Skoghalls IBK",1
"279","Erik Norin","Hammarö Arena",1,4,"Telge SIBK",1
"280","Erik Norin","Kristiansborgshallen",2,4,"Rönnby Västerås IBK Ungdom",1
"281","Erik Norin","Kristiansborgshallen",2,4,"Västerås IBS",1
"282","Erik Norin","Kristiansborgshallen",2,4,"Fröjereds IF",1
"283","Erik Norin","Kristiansborgshallen",2,4,"Hovslätts IK",1
"284","Fredrik Landin","Sjöstadshallen",1,2,"Hammarby IF IBF",1
"285","Fredrik Landin","Sjöstadshallen",1,2,"IBF Falun",1
"286","Fredrik Landin","Tullingehallen",1,2,"FBI Tullinge",1
"287","Fredrik Landin","Tullingehallen",1,2,"Bele Barkarby IF IBF",1
"288","Fredrik Lundborg","ISLK",1,6,"IBK Lund Elit",1
"289","Fredrik Lundborg","ISLK",1,6,"IBK Lockerud Mariestad",1
"290","Fredrik Lundborg","Lunds Idrottshall",3,6,"Lindome IBK",1
"291","Fredrik Lundborg","Lunds Idrottshall",3,6,"Telge SIBK",1
"292","Fredrik Lundborg","Lunds Idrottshall",3,6,"IBK Lund Elit",3
"293","Fredrik Lundborg","Lunds Idrottshall",3,6,"Västra Mälardalen IB",1
"294","Fredrik Lundborg","Åstorps Sporthall",2,6,"IBK Lockerud Mariestad",1
"295","Fredrik Lundborg","Åstorps Sporthall",2,6,"Åstorp/Kvidinge IBS",2
"296","Fredrik Lundborg","Åstorps Sporthall",2,6,"Röke IBK",1
"297","Gustaf Vallgren","Hälsans hus",2,13,"IBF Falun",1
"298","Gustaf Vallgren","Hälsans hus",2,13,"Notvikens IK",2
"299","Gustaf Vallgren","Hälsans hus",2,13,"Strömsbro IF",1
"300","Gustaf Vallgren","Luleå Energi Arena",2,13,"Team Kalix IBK",1
"301","Gustaf Vallgren","Luleå Energi Arena",2,13,"Ersboda SK",1
"302","Gustaf Vallgren","Luleå Energi Arena",2,13,"Notvikens IK",2
"303","Gustaf Vallgren","Musköten 2",1,13,"Älvsjö AIK IBF",1
"304","Gustaf Vallgren","Musköten 2",1,13,"IBF Dalen",1
"305","Gustaf Vallgren","Sjöfruhallen",1,13,"IKSU Ungdom",1
"306","Gustaf Vallgren","Sjöfruhallen",1,13,"Team Kalix IBK",1
"307","Gustaf Vallgren","Sportcity Kalix",4,13,"Team Kalix IBK",4
"308","Gustaf Vallgren","Sportcity Kalix",4,13,"IKSU Ungdom",1
"309","Gustaf Vallgren","Sportcity Kalix",4,13,"Sundsvalls IBF",1
"310","Gustaf Vallgren","Sportcity Kalix",4,13,"Strömsbro IF",1
"311","Gustaf Vallgren","Sportcity Kalix",4,13,"Notvikens IK",1
"312","Gustaf Vallgren","Umeå Energi Arena",2,13,"Sundsvalls IBF",1
"313","Gustaf Vallgren","Umeå Energi Arena",2,13,"Notvikens IK",1
"314","Gustaf Vallgren","Umeå Energi Arena",2,13,"IBF Dalen",2
"315","Gustaf Vallgren","Umeå Energi Arena Väst",1,13,"FBI Tullinge",1
"316","Gustaf Vallgren","Umeå Energi Arena Väst",1,13,"RIG Umeå IBF",1
"317","Henrik Carlsson","Kalmar Sporthall A-hall",1,2,"Åstorp/Kvidinge IBS",1
"318","Henrik Carlsson","Kalmar Sporthall A-hall",1,2,"FBC Kalmarsund",1
"319","Henrik Carlsson","Qpoolen",1,2,"Åstorp/Kvidinge IBS",1
"320","Henrik Carlsson","Qpoolen",1,2,"Röke IBK",1
"321","Henrik Ibjer","ICA-kvantum hallen, Mariestad",1,5,"Rönnby Västerås IBK Ungdom",1
"322","Henrik Ibjer","ICA-kvantum hallen, Mariestad",1,5,"IBK Lockerud Mariestad",1
"323","Henrik Ibjer","Jönköpings Idrottshus D-hall",2,5,"IBK Lockerud Mariestad",1
"324","Henrik Ibjer","Jönköpings Idrottshus D-hall",2,5,"Hovslätts IK",2
"325","Henrik Ibjer","Jönköpings Idrottshus D-hall",2,5,"Skoghalls IBK",1
"326","Henrik Ibjer","Vasahallen",1,5,"Västra Mälardalen IB",1
"327","Henrik Ibjer","Vasahallen",1,5,"Västerås IBS",1
"328","Henrik Ibjer","Västergård Arena A",1,5,"Telge SIBK",1
"329","Henrik Ibjer","Västergård Arena A",1,5,"Fröjereds IF",1
"330","Henrik Lord Johansson","Folkungahallen",1,2,"Telge SIBK",1
"331","Henrik Lord Johansson","Folkungahallen",1,2,"Linköping IBK",1
"332","Henrik Lord Johansson","Sparbankshallen, T-holm",1,2,"Fröjereds IF",1
"333","Henrik Lord Johansson","Sparbankshallen, T-holm",1,2,"Lindome IBK",1
"334","Henrik Öberg","Ersängshallen",1,18,"Ersboda SK",1
"335","Henrik Öberg","Ersängshallen",1,18,"Älvsjö AIK IBF",1
"336","Henrik Öberg","Folkungahallen",1,18,"Rönnby Västerås IBK Ungdom",1
"337","Henrik Öberg","Folkungahallen",1,18,"IBF Linköping",1
"338","Henrik Öberg","Håstaholmen",2,18,"IKSU Ungdom",1
"339","Henrik Öberg","Håstaholmen",2,18,"Hudik/Björkberg IBK",2
"340","Henrik Öberg","Håstaholmen",2,18,"Sundsvalls IBF",1
"341","Henrik Öberg","IKSU Sport",3,18,"Åkersberga IBF",1
"342","Henrik Öberg","IKSU Sport",3,18,"FBI Tullinge",1
"343","Henrik Öberg","IKSU Sport",3,18,"IKSU Ungdom",3
"344","Henrik Öberg","IKSU Sport",3,18,"Hammarby IF IBF",1
"345","Henrik Öberg","Jakobsbergs Sporthall",2,18,"Bele Barkarby IF IBF",2
"346","Henrik Öberg","Jakobsbergs Sporthall",2,18,"Strömsbro IF",1
