"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Adam Kruse","Frölunda Kulturhus",3,14,"Romelanda UF H2",1
"2","Adam Kruse","Frölunda Kulturhus",3,14,"Lindome IBK H2",1
"3","Adam Kruse","Frölunda Kulturhus",3,14,"Frölunda IBK H2",3
"4","Adam Kruse","Frölunda Kulturhus",3,14,"Landvetter IBK H2",1
"5","Adam Kruse","Lisebergshallen",1,14,"Lindome IBK H2",1
"6","Adam Kruse","Lisebergshallen",1,14,"Hovås IBK",1
"7","Adam Kruse","Lundbystrand 1",1,14,"Lindome IBK H2",1
"8","Adam Kruse","Lundbystrand 1",1,14,"IBF Backadalen",1
"9","Adam Kruse","Lundenhallen",2,14,"IBK Göteborg H2",2
"10","Adam Kruse","Lundenhallen",2,14,"IBF Backadalen",1
"11","Adam Kruse","Lundenhallen",2,14,"Torslanda IBF H2",1
"12","Adam Kruse","Qvisthallen",2,14,"Partille IBS H2",2
"13","Adam Kruse","Qvisthallen",2,14,"IBK Kungälv H2",1
"14","Adam Kruse","Qvisthallen",2,14,"Romelanda UF H2",1
"15","Adam Kruse","Svingelns Sporthall",1,14,"Burås IK H2",1
"16","Adam Kruse","Svingelns Sporthall",1,14,"Landvetter IBK H2",1
"17","Adam Kruse","Torpahallen",2,14,"IBK Kungälv H2",1
"18","Adam Kruse","Torpahallen",2,14,"Partille IBS H2",1
"19","Adam Kruse","Torpahallen",2,14,"IBK Göteborg H2",1
"20","Adam Kruse","Torpahallen",2,14,"IBK Göteborg H2",1
"21","Adam Kruse","Valhalla A-hall",2,14,"IBK Göteborg H2",1
"22","Adam Kruse","Valhalla A-hall",2,14,"Guldhedens IK H2",2
"23","Adam Kruse","Valhalla A-hall",2,14,"Romelanda UF H2",1
"24","Adnan Tongur","Almåshallen A",3,31,"Burås IK H2",1
"25","Adnan Tongur","Almåshallen A",3,31,"Lindome IBK H2",3
"26","Adnan Tongur","Almåshallen A",3,31,"Romelanda UF H2",1
"27","Adnan Tongur","Almåshallen A",3,31,"Guldhedens IK H2",1
"28","Adnan Tongur","Almåshallen B",3,31,"Hovås IBK",1
"29","Adnan Tongur","Almåshallen B",3,31,"Lindome IBK H2",1
"30","Adnan Tongur","Almåshallen B",3,31,"Lindome IBK H2",2
"31","Adnan Tongur","Almåshallen B",3,31,"Landvetter IBK H2",1
"32","Adnan Tongur","Almåshallen B",3,31,"IBK Göteborg H2",1
"33","Adnan Tongur","Björlanda Idrottshall",2,31,"Torslanda IBF H2",2
"34","Adnan Tongur","Björlanda Idrottshall",2,31,"IBK Göteborg H2",1
"35","Adnan Tongur","Björlanda Idrottshall",2,31,"Lindome IBK H2",1
"36","Adnan Tongur","Frölunda Kulturhus",4,31,"Torslanda IBF H2",1
"37","Adnan Tongur","Frölunda Kulturhus",4,31,"Frölunda IBK H2",4
"38","Adnan Tongur","Frölunda Kulturhus",4,31,"IBF Backadalen",1
"39","Adnan Tongur","Frölunda Kulturhus",4,31,"Burås IK H2",1
"40","Adnan Tongur","Frölunda Kulturhus",4,31,"IBK Kungälv H2",1
"41","Adnan Tongur","Lisebergshallen",1,31,"IBF Backadalen",1
"42","Adnan Tongur","Lisebergshallen",1,31,"Hovås IBK",1
"43","Adnan Tongur","Lundbystrand 1",3,31,"Frölunda IBK H2",1
"44","Adnan Tongur","Lundbystrand 1",3,31,"Guldhedens IK H2",1
"45","Adnan Tongur","Lundbystrand 1",3,31,"IBF Backadalen",3
"46","Adnan Tongur","Lundbystrand 1",3,31,"IBK Kungälv H2",1
"47","Adnan Tongur","Lundenhallen",3,31,"Landvetter IBK H2",1
"48","Adnan Tongur","Lundenhallen",3,31,"Frölunda IBK H2",1
"49","Adnan Tongur","Lundenhallen",3,31,"Hovås IBK",1
"50","Adnan Tongur","Lundenhallen",3,31,"IBK Göteborg H2",2
"51","Adnan Tongur","Lundenhallen",3,31,"Lindome IBK H2",1
"52","Adnan Tongur","Mimershus A-hallen",4,31,"Romelanda UF H2",2
"53","Adnan Tongur","Mimershus A-hallen",4,31,"IBK Kungälv H2",3
"54","Adnan Tongur","Mimershus A-hallen",4,31,"Partille IBS H2",1
"55","Adnan Tongur","Mimershus A-hallen",4,31,"Torslanda IBF H2",1
"56","Adnan Tongur","Mimershus A-hallen",4,31,"Frölunda IBK H2",1
"57","Adnan Tongur","Munkegärdehallen",1,31,"Romelanda UF H2",1
"58","Adnan Tongur","Munkegärdehallen",1,31,"Burås IK H2",1
